name,size
&quot;Bungaku Shoujo&quot; Kyou no Oyatsu: Hatsukoi,False
&quot;Bungaku Shoujo&quot; Memoire,False
&quot;Bungaku Shoujo&quot; Movie,False
.hack//G.U. Returner,False
.hack//G.U. Trilogy,False
.hack//Gift,False
.hack//Liminality,False
.hack//Quantum,False
.hack//Roots,False
.hack//Sign,True
.hack//Tasogare no Udewa Densetsu,False
07-Ghost,True
12-sai.: Chicchana Mune no Tokimeki,False
3x3 Eyes,False
91 Days,False
A-Channel,False
A-Channel+smile,False
AKB0048,False
AKB0048: Next Stage,False
Aa! Megami-sama!,False
Aa! Megami-sama! (2011),False
Aa! Megami-sama! (TV),True
Aa! Megami-sama! Movie,False
Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,False
Aa! Megami-sama!: Sorezore no Tsubasa,False
Accel World,True
Accel World EX,False
Accel World: InfiniteâBurst,False
Acchi Kocchi (TV),True
Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari,False
Afro Samurai,True
Afro Samurai Movie,False
Afro Samurai: Resurrection,False
After War Gundam X,False
Ai Tenchi Muyou!,False
Aikatsu!,False
Air,True
Air Master,False
Air Movie,False
Aishiteruze Babyââ,False
Aiura,False
Ajin,False
Ajin Part 1: Shoudou,False
Akagami no Shirayuki-hime,False
Akagami no Shirayuki-hime 2nd Season,False
"Akagami no Shirayuki-hime: Nandemonai Takaramono, Kono Page",False
Akame ga Kill!,True
Akane Maniax,False
Akatsuki no Yona,True
Akira,True
Aku no Hana,False
Akuma no Riddle,False
Aldnoah.Zero,True
Aldnoah.Zero 2nd Season,True
Alien 9,False
Allison to Lillia,False
Amaama to Inazuma,False
Amagami SS,True
Amagami SS OVA,False
Amagami SS+ Plus,False
Amagi Brilliant Park,True
Amanchu!,False
Amatsuki,False
Ame-iro Cocoa,False
Amnesia,True
Amnesia OVA,False
Ange Vierge,False
Angel Beats!,True
Angel&#039;s Feather,False
Anitore! EX,False
Anne Happyâª,False
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,True
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,False
Ano Natsu de Matteru,True
Another,True
Another: The Other - Inga,True
Ansatsu Kyoushitsu (TV),True
Ansatsu Kyoushitsu (TV) 2nd Season,False
Ansatsu Kyoushitsu: 365-nichi no Jikan,False
Ao Haru Ride,True
Ao Haru Ride OVA,False
Ao no 6-gou,False
Ao no Exorcist,True
Ao no Exorcist Movie,True
Ao no Kanata no Four Rhythm,False
Aoharu x Kikanjuu,False
Aoi Bungaku Series,False
Aoi Hana,False
Aoki Hagane no Arpeggio: Ars Nova,False
Appleseed,False
Appleseed (Movie),False
Appleseed Saga Ex Machina,False
Aquarion Evol,False
Arakawa Under the Bridge,True
Arakawa Under the Bridge x Bridge,False
Arata Kangatari,False
Arata naru Sekai: World&#039;s/Start/Load/End,False
Arcana Famiglia: Capriccio - stile Arcana Famiglia,False
Area no Kishi,False
Argento Soma,False
Aria The Animation,False
Aria The Natural,False
Aria The OVA: Arietta,False
Aria The Origination,False
Armitage III,False
Arslan Senki (TV),False
Arslan Senki (TV): Fuujin Ranbu,False
Arve Rezzle: Kikaijikake no Yousei-tachi,False
Asatte no Houkou.,False
Ashita no Joe,False
Ashita no Nadja,False
Asura,False
Asura Cryin&#039;,False
Asura Cryin&#039; 2,False
Aura: Maryuuin Kouga Saigo no Tatakai,False
Ayakashi,False
Ayakashi: Japanese Classic Horror,False
Ayashi no Ceres,False
Azumanga Daioh,True
B-Project: Kodouï¼Ambitious,False
Baby Steps,False
Baby Steps 2nd Season,False
Baccano!,True
Baka to Test to Shoukanjuu,True
Baka to Test to Shoukanjuu Ni!,True
Baka to Test to Shoukanjuu: Matsuri,False
Bakemono no Ko,False
Bakemonogatari,True
Bakugan Battle Brawlers,False
Bakugan Battle Brawlers: New Vestroia,False
Bakuman.,True
Bakuman. 2nd Season,True
Bakuman. 3rd Season,False
Bakumatsu Rock,False
Bakuon!!,False
Bakuretsu Tenshi,False
Bakuten Shoot Beyblade,False
Bakuten Shoot Beyblade 2002,False
Bakuten Shoot Beyblade G Revolution,False
Bamboo Blade,False
Bananya,False
Barakamon,True
Bartender,False
Basilisk: Kouga Ninpou Chou,False
Batman: Gotham Knight,False
Battery,False
Bayonetta: Bloody Fate,False
Beck,True
Beelzebub,True
Ben-To,True
Berserk,True
Berserk (2016),False
Berserk: Ougon Jidai-hen I - Haou no Tamago,False
Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,False
Berserk: Ougon Jidai-hen III - Kourin,False
Big Order,False
Big Order (TV),False
Binan Koukou Chikyuu Bouei-bu LOVE!,False
Binan Koukou Chikyuu Bouei-bu LOVE! LOVE!,False
Binbougami ga!,False
Binzume Yousei,False
Biohazard: Degeneration,False
Bishoujo Senshi Sailor Moon,True
Bishoujo Senshi Sailor Moon Crystal Season III,False
Bishoujo Senshi Sailor Moon R,True
Bishoujo Senshi Sailor Moon R: The Movie,False
Bishoujo Senshi Sailor Moon S,True
Bishoujo Senshi Sailor Moon S: Kaguya Hime no Koibito,False
Bishoujo Senshi Sailor Moon SuperS,False
Bishoujo Senshi Sailor Moon SuperS: Sailor 9 Senshi Shuuketsu! Black Dream Hole no Kiseki,False
Bishoujo Senshi Sailor Moon: Sailor Stars,False
Black Blood Brothers,False
Black Bullet,True
Black Cat,True
Black Jack,False
Black Jack (TV),False
Black Lagoon,True
Black Lagoon: Roberta&#039;s Blood Trail,False
Black Lagoon: The Second Barrage,True
BlackâRock Shooter (OVA),True
BlackâRock Shooter (TV),True
Blade,False
Blade &amp; Soul,False
Blade of the Immortal,False
Blassreiter,False
BlazBlue: Alter Memory,False
Bleach,True
Bleach Movie 1: Memories of Nobody,True
Bleach Movie 2: The DiamondDust Rebellion - Mou Hitotsu no Hyourinmaru,True
Bleach Movie 3: Fade to Black - Kimi no Na wo Yobu,True
Bleach Movie 4: Jigoku-hen,True
Blood Lad,True
Blood Lad: Wagahai wa Neko de wa Nai,False
Blood+,True
Blood-C,False
Blood-C: The Last Dark,False
Blood: The Last Vampire,True
Blue Dragon,False
Blue Drop: Tenshi-tachi no Gikyoku,False
Blue Gender,False
Bobobo-bo Bo-bobo,False
Boku dake ga Inai Machi,True
Boku no Hero Academia,True
Boku no Imouto wa &quot;Osaka Okan&quot;,False
Boku wa Imouto ni Koi wo Suru,False
Boku wa Tomodachi ga Sukunai Episode 0,False
Boku wa Tomodachi ga Sukunai: Relay Shousetsu wa Ketsumatsu ga Hanpanai,False
Bokura ga Ita,True
Bokura wa Minna Kawaisou,True
Bokurano,False
Boogiepop wa Warawanai: Boogiepop Phantom,False
Boruto: Naruto the Movie,False
Boys Be...,False
Brave 10,False
Brave Story,False
Break Blade,False
Break Blade 1: Kakusei no Toki,False
Break Blade 2: Ketsubetsu no Michi,False
Break Blade 3: Kyoujin no Ato,False
Break Blade 4: Sanka no Chi,False
Break Blade 5: Shisen no Hate,False
Break Blade 6: Doukoku no Toride,False
Btooom!,True
Bubblegum Crisis,False
Bubblegum Crisis Tokyo 2040,False
Bubuki Buranki,False
Buddy Complex,False
Bungou Stray Dogs,False
Bus Gamer,False
Busou Renkin,False
Busou Shinki,False
Byousoku 5 Centimeter,True
C: The Money of Soul and Possibility Control,True
Canaan,False
Candy Boy Episode: EX01 - Mirai Yohouzu,False
Canvas 2: Niji-iro no Sketch,False
Captain Earth,False
Captain Harlock,False
Captain Tsubasa,False
Captain Tsubasa J,False
Captain Tsubasa: Road to 2002,False
Cardcaptor Sakura,True
Cardcaptor Sakura Movie 1,False
Cardcaptor Sakura Movie 2: Fuuin Sareta Card,False
Cardcaptor Sakura: Leave It to Kero-chan,False
Cardfight!! Vanguard,False
Carnival Phantasm,False
Carnival Phantasm EX Season,False
Casshern Sins,False
Cencoroll,False
Chaos Dragon: Sekiryuu Seneki,False
Charlotte,True
Cheer Danshi!!,False
Chi&#039;s Sweet Home,False
Chi&#039;s Sweet Home: Atarashii Ouchi,False
Chicchana Yukitsukai Sugar,False
Chihayafuru,False
Chihayafuru 2,False
Chihayafuru 2: Waga Mi Yo ni Furu Nagame Seshi Ma ni,False
Chikyuu Shoujo Arjuna,False
Chitose Get You!!,False
Choboraunyopomi Gekijou Ai Mai Mii,False
Chocotto Sister,False
Choujigen Game Neptune The Animation,False
Choujigen Game Neptune The Animation OVA,False
Chouyaku Hyakuninisshu: Uta Koi.,False
Chrno Crusade,True
Chrome Shelled Regios,False
Chuunibyou demo Koi ga Shitai!,True
Chuunibyou demo Koi ga Shitai! Ren,True
City Hunter,False
Clannad,True
Clannad Movie,True
Clannad: After Story,True
ClassroomâCrisis,False
Claymore,True
Code Geass: Boukoku no Akito 1 - Yokuryuu wa Maiorita,False
Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu,False
Code Geass: Boukoku no Akito 3 - Kagayaku Mono Ten yori Otsu,False
Code Geass: Boukoku no Akito 4 - Nikushimi no Kioku Kara,False
Code Geass: Boukoku no Akito Final - Itoshiki Monotachi e,False
Code Geass: Hangyaku no Lelouch,True
Code Geass: Hangyaku no Lelouch R2,True
Code Geass: Hangyaku no Lelouch R2 Special Edition Zero Requiem,False
Code Geass: Hangyaku no Lelouch Special Edition Black Rebellion,False
Code Geass: Nunnally in Wonderland,False
Code:Breaker,False
Colorful (Movie),False
Comet Lucifer,False
Comic Party,False
Concrete Revolutio: Choujin Gensou,False
Concrete Revolutio: Choujin Gensou - The Last Song,False
Coppelion,False
Coquelicot-zaka kara,False
Corpse Party: Missing Footage,False
Corpse Party: Tortured Souls - Bougyakusareta Tamashii no Jukyou,True
Cossette no Shouzou,False
Cowboy Bebop,True
Cowboy Bebop: Tengoku no Tobira,True
Coyote Ragtime Show,False
Cross Ange: Tenshi to Ryuu no Rondo,False
Cross Game,False
Cuticle Tantei Inaba,False
Cyborg 009: The Cyborg Soldier,False
D-Frag!,False
D-Frag! OVA,False
D.Gray-man,True
D.Gray-man Hallow,False
D.N.Angel,True
DNAÂ²,False
DRAMAtical Murder,False
Dagashi Kashi,False
Dai Mahou Touge,False
Dance in the Vampire Bund,True
Danchigai,False
Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen,False
Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen,False
Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,True
Danna ga Nani wo Itteiru ka Wakaranai Ken,False
Danna ga Nani wo Itteiru ka Wakaranai Ken 2 Sure-me,False
Dansai Bunri no Crime Edge,False
Danshi Koukousei no Nichijou,True
Dantalian no Shoka,False
Dantalian no Shoka: Ibarahime,False
Dareka no Manazashi,False
Darker than Black: Kuro no Keiyakusha,True
Darker than Black: Ryuusei no Gemini,True
Date A Live: Encore OVA,False
Dead Leaves,False
Deadman Wonderland,True
Deadman Wonderland OVA,True
Death Billiards,False
Death Note,True
Death Parade,True
Demashita! Powerpuff Girls Z,False
Denki-gai no Honya-san,False
Dennou Coil,False
Denpa Kyoushi (TV),False
Denpa Onna to Seishun Otoko,True
Denpa-teki na Kanojo,False
Densetsu no Yuusha no Densetsu,False
Detective Conan Movie 01: The Timed Skyscraper,False
Detective Conan Movie 02: The Fourteenth Target,False
Detective Conan Movie 03: The Last Wizard of the Century,False
Detective Conan Movie 04: Captured in Her Eyes,False
Detective Conan Movie 05: Countdown to Heaven,False
Detective Conan Movie 06: The Phantom of Baker Street,False
Detective Conan Movie 07: Crossroad in the Ancient Capital,False
Detective Conan Movie 08: Magician of the Silver Sky,False
Detective Conan Movie 09: Strategy Above the Depths,False
Detective Conan Movie 10: Requiem of the Detectives,False
Detective Conan Movie 11: Jolly Roger in the Deep Azure,False
Detective Conan Movie 12: Full Score of Fear,False
Detective Conan Movie 13: The Raven Chaser,False
Detective Conan Movie 14: The Lost Ship in the Sky,False
Detective Conan Movie 15: Quarter of Silence,False
Detective Conan Movie 16: The Eleventh Striker,False
Detective Conan Movie 17: Private Eye in the Distant Sea,False
Detroit Metal City,True
Devil May Cry,True
Devil Survivor 2 The Animation,False
Diamond no Ace,False
Diamond no Ace: Second Season,False
Digimon Adventure,True
Digimon Adventure 02,True
Digimon Adventure 02 Movies,False
Digimon Adventure 02: Diablomon no Gyakushuu,False
Digimon Adventure Movie,True
Digimon Adventure tri. 1: Saikai,False
Digimon Adventure tri. 2: Ketsui,False
Digimon Adventure tri. 3: Kokuhaku,False
Digimon Adventure: Bokura no War Game!,False
Digimon Frontier,False
Digimon Savers,False
Digimon Tamers,True
Digimon Tamers: Boukensha-tachi no Tatakai,False
Digimon Tamers: Bousou Digimon Tokkyuu,False
Digimon Xros Wars,False
Dimension W,False
Divine Gate,False
Dog Days,False
Dog Days&#039;,False
Dog Days&#039;&#039;,False
Dogs: Bullets &amp; Carnage,False
Donten ni Warau,False
Doraemon (1979),False
Doujin Work,False
Doukyuusei (Movie),False
Dragon Ball,True
Dragon Ball GT,True
Dragon Ball Kai,False
Dragon Ball Kai (2014),False
Dragon Ball Movie 1: Shen Long no Densetsu,False
Dragon Ball Movie 2: Majinjou no Nemuri Hime,False
Dragon Ball Movie 3: Makafushigi Daibouken,False
Dragon Ball Movie 4: Saikyou e no Michi,False
Dragon Ball Z,True
Dragon Ball Z Movie 01: Ora no Gohan wo Kaese!!,False
Dragon Ball Z Movie 02: Kono Yo de Ichiban Tsuyoi Yatsu,False
Dragon Ball Z Movie 03: Chikyuu Marugoto Choukessen,False
Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu,False
Dragon Ball Z Movie 05: Tobikkiri no Saikyou tai Saikyou,False
Dragon Ball Z Movie 06: Gekitotsu!! 100-oku Power no Senshi-tachi,False
Dragon Ball Z Movie 07: Kyokugen Battle!! Sandai Super Saiyajin,False
"Dragon Ball Z Movie 08: Moetsukiro!! Nessen, Ressen, Chougekisen",False
Dragon Ball Z Movie 09: Ginga Girigiri!! Bucchigiri no Sugoi Yatsu,False
Dragon Ball Z Movie 10: Kiken na Futari! Super Senshi wa Nemurenai,False
Dragon Ball Z Movie 11: Super Senshi Gekiha!! Katsu no wa Ore da,False
Dragon Ball Z Movie 12: Fukkatsu no Fusion!! Gokuu to Vegeta,False
Dragon Ball Z Movie 13: Ryuuken Bakuhatsu!! Goku ga Yaraneba Dare ga Yaru,False
Dragon Ball Z Movie 14: Kami to Kami,False
Dragon Ball Z Movie 15: Fukkatsu no F,False
Dragon Ball Z: Saiya-jin Zetsumetsu Keikaku,False
Dragon Ball: Super Saiya-jin Zetsumetsu Keikaku,False
Dragon Crisis!,False
Dragon Drive,False
Dragonaut: The Resonance,False
Druaga no Tou: The Aegis of Uruk,False
Druaga no Tou: The Sword of Uruk,False
Duel Masters,False
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,True
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka OVA,False
Durarara!!,True
Durarara!!x2 Ketsu,False
Durarara!!x2 Shou,True
Durarara!!x2 Ten,False
Eikoku Koi Monogatari Emma,False
El Cazador de la Bruja,False
Elfen Lied,True
Endride,False
Erementar Gerad,False
Ergo Proxy,True
Escaflowne,False
Escha &amp; Logy no Atelier: Tasogare no Sora no Renkinjutsushi,False
Etotama,False
Eureka Seven,True
Eureka Seven AO,False
Eureka Seven: Pocket ga Niji de Ippai,False
Evangelion: 1.0 You Are (Not) Alone,True
Evangelion: 2.0 You Can (Not) Advance,True
Evangelion: 3.0 You Can (Not) Redo,True
Eve no Jikan (Movie),False
Eyeshield 21,False
FLCL,True
Fairy Tail,True
Fairy Tail (2014),False
Fairy Tail Movie 1: Houou no Miko,False
Fairy Tail x Rave,False
Fantasista Doll,False
Fantastic Children,False
Fate/Prototype,False
Fate/Zero,True
Fate/Zero 2nd Season,True
Fate/kaleid liner PrismaâIllya,False
Fate/kaleid liner PrismaâIllya 2wei Herz!,False
Fate/kaleid liner PrismaâIllya 2wei!,False
Fate/kaleid liner PrismaâIllya 3rei!!,False
Fate/kaleid liner PrismaâIllya: Undoukai de Dance!,False
Fate/stay night,True
Fate/stay night Movie: Unlimited Blade Works,False
Fate/stay night TV Reproduction,False
Fate/stay night: Unlimited Blade Works,True
Fate/stay night: Unlimited Blade Works 2nd Season,True
Final Approach,False
Final Fantasy VII: Advent Children,True
Final Fantasy VII: Advent Children Complete,True
Final Fantasy VII: Last Order,False
Final Fantasy VII: On the Way to a Smile - Episode: Denzel,False
Final Fantasy: The Spirits Within,True
Final Fantasy: Unlimited,False
First Squad: The Moment of Truth,False
Flying Witch,False
Fortune Arterial: Akai Yakusoku,False
Fractale,False
Free!,True
Free!: Eternal Summer,True
Freedom,False
Fruits Basket,True
Fudanshi Koukou Seikatsu,False
Fukigen na Mononokean,False
Full Metal Panic!,True
Full Metal Panic! The Second Raid,True
Full Metal Panic? Fumoffu,True
Full Moon wo Sagashite,False
Fullmetal Alchemist,True
Fullmetal Alchemist: Brotherhood,True
Fullmetal Alchemist: Premium Collection,False
Fullmetal Alchemist: The Conqueror of Shamballa,True
Fullmetal Alchemist: The Sacred Star of Milos,False
Fuse: Teppou Musume no Torimonochou,False
Fushigi Yuugi,False
Fushigi Yuugi OVA,False
Fushigi Yuugi OVA 2,False
Fushigi no Umi no Nadia,False
Futakoi,False
Futakoi Alternative,False
Futari wa Precure,False
Futsuu no Joshikousei ga [Locodol] Yattemita.,False
Fuuun Ishin DaiâShogun,False
GA: Geijutsuka Art Design Class,False
GJ-bu,False
Ga-Rei: Zero,True
Gake no Ue no Ponyo,True
Gakkou no Kaidan,False
Gakkougurashi!,False
Gakuen Alice,False
Gakuen Heaven,False
Gakuen Utopia Manabi Straight!,False
Galaxy Angel,False
Galilei Donna,False
Gangsta.,True
Gankutsuou,False
Gantz,True
Gantz 2nd Stage,True
Garo: Guren no Tsuki,False
Garo: Honoo no Kokuin,False
Gatchaman Crowds,False
Gatchaman Crowds Insight,False
Gate Keepers,False
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",True
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season",False
Gedo Senki,True
Gekkan Shoujo Nozaki-kun,True
Genei wo Kakeru Taiyou,False
Genius Party,False
Genshiken,False
Genshiken 2,False
Genshiken Nidaime,False
Genshiken OVA,False
Gensoumaden Saiyuuki,False
GetBackers,False
Ghost Hunt,True
Ghost in the Shell,True
Ghost in the Shell (2015),False
Ghost in the Shell 2.0,False
Ghost in the Shell 2: Innocence,True
Ghost in the Shell: Arise - Alternative Architecture,False
Ghost in the Shell: Arise - Border:1 Ghost Pain,False
Ghost in the Shell: Arise - Border:2 Ghost Whispers,False
Ghost in the Shell: Arise - Border:3 Ghost Tears,False
Ghost in the Shell: Arise - Border:4 Ghost Stands Alone,False
Ghost in the Shell: Stand Alone Complex,True
Ghost in the Shell: Stand Alone Complex 2nd GIG,True
Giant Killing,False
Gilgamesh,False
Gin no Saji,False
Gin no Saji 2nd Season,False
Ginban Kaleidoscope,False
Ginga Eiyuu Densetsu,False
Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,False
Ginga Kikoutai Majestic Prince,False
Gingitsune,False
Giniro no Kami no Agito,False
Gintama,False
Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,False
Gintama Movie: Shinyaku Benizakura-hen,False
Gintama&#039;,False
Gintama&#039;: Enchousen,False
GintamaÂ°,False
GintamaÂ°: Aizome Kaori-hen,False
Girlfriend (Kari),False
Girls und Panzer,False
Girls und Panzer der Film,False
Girls und Panzer: Kore ga Hontou no Anzio-sen Desu!,False
Glass no Hana to Kowasu Sekai,False
Glass no Kamen (2005),False
Glasslip,False
Gochuumon wa Usagi Desu ka?,False
Gochuumon wa Usagi Desu ka??,False
God Eater,False
Goku Sayonara Zetsubou Sensei,False
Gokukoku no Brynhildr,True
Gokusen,False
Golden Time,True
Golgo 13 (TV),False
Gosick,True
Grappler Baki (TV),False
Grappler Baki: Saidai Tournament-hen,False
Gravitation,True
Gravitation: Lyrics of Love,False
Great Teacher Onizuka,True
Groove Adventure Rave,False
Gugure! Kokkuri-san,False
Guilty Crown,True
Guilty Crown: Lost Christmas,False
Guin Saga,False
Gun x Sword,False
Gundam Build Fighters,False
Gundam Build Fighters Try,False
Gundam: G no Reconguista,False
Gungrave,False
Gunnm,False
Gunslinger Girl,True
Gunslinger Girl: Il Teatrino,False
Gunslinger Girl: Il Teatrino OVA,False
Gunslinger Stratos: The Animation,False
Gunsmith Cats,False
Gyakkyou Burai Kaiji: Hakairoku-hen,False
Gyakkyou Burai Kaiji: Ultimate Survivor,False
"Gyakuten Saiban: Sono &quot;Shinjitsu&quot;, Igi Ari!",False
Gyo,False
